,date_01,Time (GPS s),Velocity forward (m/s),Velocity lateral (m/s),Speed horizontal (m/s),Acceleration forward (m/s2),Acceleration lateral (m/s2),Acceleration down (m/s2),Acceleration filtered forward (m/s2),Acceleration filtered lateral (m/s2),Acceleration filtered down (m/s2),date,jerkRT,speedOpt,accLongOptFilt,accLatOptFilt,jerkOptFilt,speedOptKPH
9336,1900-01-01 14:29:52,1368415713,15.73630686,0.075852407,56.65136282,0.279086063,1.760806947,-9.735218628,0.2483343,1.802717916,-9.83823747,28:15.4,-0.068758499,56.65472544596268,0.04657522543777173,1.7689014708404902,0.008649225058067787,203.95701160546565
9337,1900-01-01 14:29:53,1368415714,15.75448148,0.075722073,56.71678844,0.230911396,1.776406514,-9.682953742,0.202463289,1.838398217,-9.688035302,28:15.5,-0.029298348,56.6749139715835,0.047367625652938616,1.7659937894486746,0.008000508085013243,204.0296902977006
9338,1900-01-01 14:29:54,1368415714,15.77197768,0.07535466,56.77976768,0.112437317,2.028159732,-9.583192861,0.14466104,1.764700884,-9.684754345,28:15.6,-0.141683812,56.69535278579475,0.04809503787187211,1.762806827997314,0.007342927101321155,204.10327002886112
9339,1900-01-01 14:29:55,1368415714,15.78929225,0.071112257,56.84202858,0.266268001,2.054284186,-9.942075606,0.140182036,1.770533895,-9.75470292,28:15.7,-0.139897027,56.716017372270215,0.04875695923664934,1.7593315620066177,0.006678414235015259,204.17766254017278
9340,1900-01-01 14:29:56,1368415714,15.80451236,0.063020762,56.89669684,0.146988411,1.878757178,-9.92616364,0.146529786,1.754390366,-9.930521968,28:15.8,-0.100953015,56.736883002377596,0.049353083304755005,1.7555590767532898,0.006008888447837583,204.25277880855936
9341,1900-01-01 14:29:57,1368415714,15.82067533,0.068512218,56.95496524,0.13921276,1.810358262,-9.820434499,0.155774622,1.866153382,-9.994277916,28:15.9,-0.101172115,56.757924804818366,0.04988329681193132,1.7514805914632552,0.005336246825360758,204.3285292973461
9342,1900-01-01 14:29:58,1368415714,15.83714683,0.069665787,57.01428021,0.226796173,2.019980444,-9.891023282,0.15512594,1.785479113,-9.983379398,28:16.0,-0.078850004,56.77911783437889,0.050347675435774605,1.747087482099618,0.004662356749630116,204.404824203764
9343,1900-01-01 14:29:59,1368415714,15.84703006,0.073613555,57.04992374,0.042987127,1.819213249,-9.839907068,0.091045374,1.777641117,-9.843331363,28:16.1,-0.036387519,56.80043713952102,0.05074647863369605,1.7423713028952654,0.003989048910555356,204.48157370227568
9344,1900-01-01 14:30:00,1368415714,15.85846781,0.077507285,57.09116596,0.217581707,1.640155051,-9.925316553,0.092625587,1.739161546,-9.854854497,28:16.2,-0.065210216,56.8218578285607,0.051080143644533636,1.7373238068078982,0.003318111033568341,204.55868818281854
9345,1900-01-01 14:30:01,1368415714,15.87269347,0.072987871,57.1423006,0.091766553,1.569019799,-9.738851339,0.115236232,1.665138027,-10.01019424,28:16.3,-0.130432078,56.84335513421607,0.05134927874347414,1.7319369650940284,0.002651282196696813,204.63607848317784
9346,1900-01-01 14:30:02,1368415714,15.88855475,0.067227362,57.1993091,-0.024629648,1.709144582,-9.653424507,0.150680657,1.613650791,-9.915496762,28:16.4,-0.096963074,56.864904476341096,0.05155465584156872,1.7262029864692192,0.001990247683331485,204.71365611482796
9347,1900-01-01 14:30:03,1368415715,15.89650129,0.072868335,57.22800589,0.039184188,1.587062673,-9.692330799,0.095009689,1.701888906,-9.945091137,28:16.5,-0.055959553,56.886481522670216,0.051697202575968916,1.7201143364691311,0.0013366344272329757,204.79133348161278
9348,1900-01-01 14:30:04,1368415715,15.89969858,0.072745842,57.23951399,-0.005882069,1.778678623,-9.767875297,0.020729548,1.689587496,-9.829924689,28:16.6,-0.14032418,56.90806224739513,0.05177799415558694,1.7136637573733766,0.0006920071350746816,204.86902409062247
9349,1900-01-01 14:30:05,1368415715,15.90999017,0.082518615,57.27673498,0.149304297,1.681731936,-9.899348903,0.06597834,1.775296147,-9.901000596,28:16.7,-0.111671787,56.92962298742115,0.051798245247777215,1.7068442886866102,5.7865115921037684e-05,204.94664275471612
9350,1900-01-01 14:30:06,1368415715,15.92136696,0.090038848,57.3178376,0.092627716,1.737852974,-9.98730936,0.085923926,1.743258584,-10.12788004,28:16.8,0.101252232,56.95114049620848,0.05175930200348268,1.699649287973855,-0.0005643601895001224,205.02410578635053
