cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D) [m/s],GPS (3D) [m/s],GPS (days) [deg],GPS (secs) [s],GPS (DOP) [deg],GPS (fix) [deg],altitude system,longAccel,latAccel
111400,2023-12-04T02:45:26.775Z,31.15304974,121.4815614,35.51900228,5.668567108,5.666617136,8738,9926.77609,99.99,0,MSLV,-0.311390887,0.916426859
111500,2023-12-04T02:45:26.875Z,31.15304219,121.4815641,35.52153917,5.576382814,5.574464554,8738,9926.875663,99.99,0,MSLV,-0.308872902,0.913069544
111600,2023-12-04T02:45:26.974Z,31.15303465,121.4815668,35.52407606,5.48419852,5.482311971,8738,9926.975236,99.99,0,MSLV,-0.328417266,0.909232614
111700,2023-12-04T02:45:27.074Z,31.1530271,121.4815695,35.52661296,5.392014226,5.390159388,8738,9927.074809,99.99,0,MSLV,-0.341726619,0.912110312
111800,2023-12-04T02:45:27.173Z,31.15301956,121.4815722,35.52914985,5.299829932,5.298006805,8738,9927.174381,99.99,0,MSLV,-0.313788969,0.910431655
111900,2023-12-04T02:45:27.273Z,31.15301201,121.4815749,35.53168674,5.207645638,5.205854222,8738,9927.273954,99.99,0,MSLV,-0.305275779,0.907673861
112000,2023-12-04T02:45:27.372Z,31.15300447,121.4815777,35.53422363,5.115461344,5.113701639,8738,9927.373527,99.99,0,MSLV,-0.319323489,0.902183516
112100,2023-12-04T02:45:27.472Z,31.15299692,121.4815804,35.53676052,5.02327705,5.021549056,8738,9927.4731,99.99,0,MSLV,-0.335611511,0.906834532
112200,2023-12-04T02:45:27.572Z,31.15298938,121.4815831,35.53929741,4.931092756,4.929396474,8738,9927.572673,99.99,0,MSLV,-0.328776978,0.908992806
112300,2023-12-04T02:45:27.671Z,31.15298183,121.4815858,35.5418343,4.838908462,4.837243891,8738,9927.672246,99.99,0,MSLV,-0.310071942,0.908393285
112400,2023-12-04T02:45:27.771Z,31.15297429,121.4815885,35.5443712,4.746724168,4.745091308,8738,9927.771819,99.99,0,MSLV,-0.311270983,0.902398082
112500,2023-12-04T02:45:27.870Z,31.15296675,121.4815912,35.54690809,4.654539874,4.652938725,8738,9927.871392,99.99,0,MSLV,-0.328896882,0.909832134
112600,2023-12-04T02:45:27.970Z,31.1529592,121.481594,35.54944498,4.56235558,4.560786142,8738,9927.970965,99.99,0,MSLV,-0.331055156,0.903956835
112700,2023-12-04T02:45:28.069Z,31.15295166,121.4815967,35.55198187,4.470171286,4.468633559,8738,9928.070538,99.99,0,MSLV,-0.32853717,0.911144768
112800,2023-12-04T02:45:28.169Z,31.15294411,121.4815994,35.55451876,4.377986992,4.376480976,8738,9928.170111,99.99,0,MSLV,-0.312589928,0.908872902
112900,2023-12-04T02:45:28.268Z,31.15293657,121.4816021,35.55705565,4.285802698,4.284328393,8738,9928.269684,99.99,0,MSLV,-0.305635492,0.91235012
113000,2023-12-04T02:45:28.368Z,31.15292902,121.4816048,35.55959254,4.193618404,4.192175811,8738,9928.369257,99.99,0,MSLV,-0.330095923,0.908872902
113100,2023-12-04T02:45:28.468Z,31.15292148,121.4816075,35.56212944,4.10143411,4.100023228,8738,9928.46883,99.99,0,MSLV,-0.344844125,0.909592326
113200,2023-12-04T02:45:28.567Z,31.15291393,121.4816103,35.56466633,4.009249816,4.007870645,8738,9928.568403,99.99,0,MSLV,-0.317985612,0.906235012
113300,2023-12-04T02:45:28.667Z,31.15290639,121.481613,35.56720322,3.917065522,3.915718062,8738,9928.667976,99.99,0,MSLV,-0.302278177,0.912589928
113400,2023-12-04T02:45:28.766Z,31.15289884,121.4816157,35.56974011,3.824881228,3.823565479,8738,9928.767549,99.99,0,MSLV,-0.321822542,0.903357314
113500,2023-12-04T02:45:28.866Z,31.1528913,121.4816184,35.572277,3.732696934,3.731412896,8738,9928.867122,99.99,0,MSLV,-0.343430519,0.907358324
113600,2023-12-04T02:45:28.965Z,31.15288375,121.4816211,35.57481389,3.64051264,3.639260313,8738,9928.966695,99.99,0,MSLV,-0.328657074,0.907673861
